post_id,platform,post_type,post_time,caption,hashtags,likes,comments,shares,caption_length,num_hashtags,post_hour,post_day,sentiment_score
1,Facebook,image,2023-08-17 14:45,Best day ever! 🎉,#Social,2121,474,628,16,1,14,Thursday,positive
2,Facebook,carousel,2023-05-14 00:45,Here's a quick update.,"#Family, #Community, #Events",3660,432,694,22,3,0,Sunday,neutral
3,Instagram,poll,2023-02-21 16:15,Not my best day. 😞,"#Beauty, #Fashion, #InstaDaily",4955,408,688,18,3,16,Tuesday,negative
4,Twitter,image,2023-11-16 00:45,Disappointed but moving on.,"#Trending, #Tech, #Entertainment",1183,90,187,27,3,0,Thursday,negative
5,Twitter,video,2023-05-23 00:30,Exciting news! 🚀,"#News, #Politics, #Entertainment",3499,247,286,16,3,0,Tuesday,positive
6,Instagram,carousel,2023-05-05 20:00,"New post, check it out!",#Photography,256,186,211,23,1,20,Friday,neutral
7,Instagram,image,2023-02-26 11:45,Loving this new vibe! 😍,#Foodie,1982,30,906,23,1,11,Sunday,positive
8,Instagram,text,2023-10-28 19:30,"New post, check it out!",#Fashion,1274,45,216,23,1,19,Saturday,neutral
9,Facebook,video,2023-05-02 06:15,Just another day.,"#Friends, #Family, #Events",317,249,221,17,3,6,Tuesday,neutral
10,Twitter,carousel,2023-05-11 11:00,Here's a quick update.,"#News, #Entertainment, #Tech",1878,225,438,22,3,11,Thursday,neutral
11,Twitter,text,2023-12-08 02:15,Feeling down today.,"#Tech, #Trending, #Memes",1446,44,52,19,3,2,Friday,negative
12,Twitter,video,2023-06-15 03:15,Amazing experience! 🌟,#Politics,304,42,89,21,1,3,Thursday,positive
13,Facebook,carousel,2023-11-11 15:45,Not my best day. 😞,"#Marketing, #Social",45,78,375,18,2,15,Saturday,negative
14,Twitter,text,2023-09-30 10:30,Exciting news! 🚀,#Politics,1333,144,123,16,1,10,Saturday,positive
15,Facebook,carousel,2023-01-09 20:00,Best day ever! 🎉,"#Friends, #Social, #Marketing",889,314,262,16,3,20,Monday,positive
16,Twitter,image,2023-02-10 13:00,What do you think?,"#Entertainment, #Tech",2348,154,18,18,2,13,Friday,neutral
17,Instagram,poll,2023-07-05 05:15,Best day ever! 🎉,#Photography,2872,10,736,16,1,5,Wednesday,positive
18,Twitter,text,2023-07-23 05:45,"New post, check it out!","#Entertainment, #Politics",512,123,338,23,2,5,Sunday,neutral
19,Twitter,text,2023-11-20 02:00,Amazing experience! 🌟,#Tech,2013,122,183,21,1,2,Monday,positive
